1;05001;MEDELLIN;1
2;05002;ABEJORRAL;1
3;05004;ABRIAQUÍ;1
4;05021;ALEJANDRÍA;1
5;05030;AMAGÁ;1
6;05031;AMALFI;1
7;05034;ANDES;1
8;05036;ANGELÓPOLIS;1
9;05038;ANGOSTURA;1
10;05040;ANORÍ;1
11;05042;SANTAFÉ DE ANTIOQUIA;1
12;05044;ANZA;1
13;05045;APARTADÓ;1
14;05051;ARBOLETES;1
15;05055;ARGELIA;1
16;05059;ARMENIA;1
17;05079;BARBOSA;1
18;05086;BELMIRA;1
19;05088;BELLO;1
20;05091;BETANIA;1
21;05093;BETULIA;1
22;05101;CIUDAD BOLÍVAR;1
23;05107;BRICEÑO;1
24;05113;BURITICÁ;1
25;05120;CÁCERES;1
26;05125;CAICEDO;1
27;05129;CALDAS;1
28;05134;CAMPAMENTO;1
29;05138;CAÑASGORDAS;1
30;05142;CARACOLÍ;1
31;05145;CARAMANTA;1
32;05147;CAREPA;1
33;05148;EL CARMEN DE VIBORAL;1
34;05150;CAROLINA;1
35;05154;CAUCASIA;1
36;05172;CHIGORODÓ;1
37;05190;CISNEROS;1
38;05197;COCORNÁ;1
39;05206;CONCEPCIÓN;1
40;05209;CONCORDIA;1
41;05212;COPACABANA;1
42;05234;DABEIBA;1
43;05237;DON MATÍAS;1
44;05240;EBÉJICO;1
45;05250;EL BAGRE;1
46;05264;ENTRERRIOS;1
47;05266;ENVIGADO;1
48;05282;FREDONIA;1
49;05284;FRONTINO;1
50;05306;GIRALDO;1
51;05308;GIRARDOTA;1
52;05310;GÓMEZ PLATA;1
53;05313;GRANADA;1
54;05315;GUADALUPE;1
55;05318;GUARNE;1
56;05321;GUATAPE;1
57;05347;HELICONIA;1
58;05353;HISPANIA;1
59;05360;ITAGUI;1
60;05361;ITUANGO;1
61;05364;JARDÍN;1
62;05368;JERICÓ;1
63;05376;LA CEJA;1
64;05380;LA ESTRELLA;1
65;05390;LA PINTADA;1
66;05400;LA UNIÓN;1
67;05411;LIBORINA;1
68;05425;MACEO;1
69;05440;MARINILLA;1
70;05467;MONTEBELLO;1
71;05475;MURINDÓ;1
72;05480;MUTATÁ;1
73;05483;NARIÑO;1
74;05490;NECOCLI;1
75;05495;NECHÍ;1
76;05501;OLAYA;1
77;05541;PEÑOL;1
78;05543;PEQUE;1
79;05576;PUEBLORRICO;1
80;05579;PUERTO BERRÍO;1
81;05585;PUERTO NARE;1
82;05591;PUERTO TRIUNFO;1
83;05604;REMEDIOS;1
84;05607;RETIRO;1
85;05615;RIONEGRO;1
86;05628;SABANALARGA;1
87;05631;SABANETA;1
88;05642;SALGAR;1
89;05647;SAN ANDRÉS;1
90;05649;SAN CARLOS;1
91;05652;SAN FRANCISCO;1
92;05656;SAN JERÓNIMO;1
93;05658;SAN JOSÉ DE LA MONTAÑA;1
94;05659;SAN JUAN DE URABÁ;1
95;05660;SAN LUIS;1
96;05664;SAN PEDRO;1
97;05665;SAN PEDRO DE URABA;1
98;05667;SAN RAFAEL;1
99;05670;SAN ROQUE;1
100;05674;SAN VICENTE;1
101;05679;SANTA BÁRBARA;1
102;05686;SANTA ROSA DE OSOS;1
103;05690;SANTO DOMINGO;1
104;05697;EL SANTUARIO;1
105;05736;SEGOVIA;1
106;05756;SONSON;1
107;05761;SOPETRÁN;1
108;05789;TÁMESIS;1
